,NAME,STATE_NAME,FIPS,geometry,Date,Series_Complete_Pop_Pct,Series_Complete_Yes,POPESTIMATE2019,Minority_Pct
22173,Sheridan,North Dakota,38083,"POLYGON ((-100.1152936360438 47.32653453035005, -100.678333868261 47.32605290819542, -100.6742051899261 47.67013176363895, -100.5895778002821 47.66899471677741, -100.5846003127612 47.8535602835283, -100.2023230753883 47.85469484379595, -100.0742226165197 47.85482134926025, -100.075028221137 47.67425754094756, -100.0340042914848 47.67447516971723, -100.0383273903796 47.32756817634888, -100.1152936360438 47.32653453035005))",2021-10-09,32.9,433,1315,0.058498023715415015
22472,Wells,North Dakota,38103,"POLYGON ((-99.48503512426275 47.32990686970913, -100.0383273903796 47.32756817634888, -100.0340042914848 47.67447516971723, -100.075028221137 47.67425754094756, -100.0742226165197 47.85482134926025, -99.8180844852784 47.85380158674398, -99.29825006524634 47.85284906587091, -99.30147797494348 47.67784134439563, -99.27199007961671 47.67637617074831, -99.27018667739594 47.59017507799436, -99.26894742116458 47.3300347738825, -99.48503512426275 47.32990686970913))",2021-10-09,38.7,1483,3834,0.045454545454545414
22771,McLean,North Dakota,38055,"POLYGON ((-101.2604350859637 47.26665066668929, -101.281706498008 47.28500007188921, -101.3427051845973 47.29630065685544, -101.3643124422292 47.32383952880656, -101.3707751515607 47.37913764709256, -101.4008512817553 47.3967201452927, -101.4193841768629 47.45271632301008, -101.4375047636206 47.46868864805653, -101.4211317343292 47.49322459525376, -101.3811066383613 47.52191087487432, -101.4352311879379 47.56065361365005, -101.4727918621419 47.56088274291646, -101.6174718930071 47.52986626579812, -101.7105297684206 47.53373877315795, -101.8148408799082 47.50230252790806, -101.8897391083182 47.50714801873654, -101.9425723904079 47.53186046229614, -102.0167610070858 47.53938380753105, -102.0234514469746 47.56202051503456, -102.0618962607196 47.57728732086795, -102.1411596011004 47.57377438534583, -102.2000366532547 47.57961130188101, -102.2480642818223 47.61473392257703, -102.2622399391731 47.63699686393601, -102.2573485499657 47.71931503671821, -102.2907439203789 47.75333133034808, -102.2681366375698 47.76870474889462, -102.2716919487961 47.78670292270718, -102.2985563839579 47.78887755267455, -102.3331572343687 47.80449170459234, -102.3548640593644 47.79784265613096, -102.38587960401 47.76874375733631, -102.3865801500353 47.84886559425861, -101.8777782290654 47.85399279545354, -100.9647056657808 47.85409179297289, -100.5846003127612 47.8535602835283, -100.5895778002821 47.66899471677741, -100.6742051899261 47.67013176363895, -100.678333868261 47.32605290819542, -100.7518992305404 47.32550725624806, -100.7555517261447 47.15779546027458, -100.9534357488059 47.16139200751634, -100.979377139593 47.17712753629853, -100.9892809322439 47.19389313660083, -100.9798364860106 47.23964677505339, -100.9889467961896 47.25915151394078, -101.0403714746431 47.28876974823076, -101.1348274374728 47.29811695828204, -101.1761498620002 47.28517781154851, -101.1981385009704 47.25528952280096, -101.2604350859637 47.26665066668929))",2021-10-09,39.4,3720,9450,0.13980145328011462
23070,Eddy,North Dakota,38027,"POLYGON ((-99.27018667739594 47.59017507799436, -99.27199007961671 47.67637617074831, -99.30147797494348 47.67784134439563, -99.29825006524634 47.85284906587091, -98.52741979014333 47.85043598191002, -98.52858475938213 47.67666741305801, -98.50708473611189 47.67627836472185, -98.50744254661227 47.59241948800285, -99.27018667739594 47.59017507799436))",2021-10-09,47.2,1080,2287,0.10140605027694927
23370,Dunn,North Dakota,38025,"POLYGON ((-102.1583836153476 47.01237069453842, -102.5229235122465 47.00941491146042, -102.524158986783 46.98418038679141, -103.040648679009 46.98416707315327, -103.0349110190134 47.32954465586541, -103.115080671064 47.33100143725834, -103.104288646353 47.67951399322088, -102.6453489422031 47.68314773576296, -102.6430902342798 47.8239845803547, -102.6252220886062 47.8090723213672, -102.5731505849163 47.78921179233698, -102.4687469514142 47.76415894443426, -102.4399445789413 47.75877609030474, -102.38587960401 47.76874375733631, -102.3548640593644 47.79784265613096, -102.3331572343687 47.80449170459234, -102.2985563839579 47.78887755267455, -102.2716919487961 47.78670292270718, -102.2681366375698 47.76870474889462, -102.2907439203789 47.75333133034808, -102.2573485499657 47.71931503671821, -102.2622399391731 47.63699686393601, -102.2480642818223 47.61473392257703, -102.2000366532547 47.57961130188101, -102.2107195786588 47.33741068482119, -102.1552604534182 47.33667802029147, -102.1583836153476 47.01237069453842))",2021-10-09,20.2,894,4424,0.1997557997557997
23669,Fergus,Montana,30027,"POLYGON ((-109.0137170050568 46.75363614484064, -109.3901821918334 46.75772374257221, -109.3898998080145 46.69755733968037, -109.7597877467284 46.69719507403261, -109.7566680556696 46.78280197445424, -109.7852334764662 46.78297722751965, -109.7862865489798 46.79488723520578, -109.8010423597682 46.79655801908561, -109.8016452033751 46.80342479992474, -109.8336440404932 46.80482837856917, -109.8315006483616 46.83296310058186, -109.8022943079892 46.83327620419621, -109.8003494289367 46.87152032909238, -109.7777503311658 46.87155488238668, -109.7766520855298 46.89688565896097, -109.7553347751067 46.89640134299629, -109.757665646057 47.18840082053597, -109.8685930658531 47.18878385960355, -109.8697530619041 47.23153628283553, -110.0001968246924 47.2323611067514, -110.0027373465903 47.27460605761308, -110.1279705554843 47.27600538832628, -110.1288623620232 47.36392461385211, -110.2128188893565 47.36615928470118, -110.2158471980897 47.41899753997869, -110.154733869161 47.41805221986709, -110.1061558744785 47.43633319193093, -110.0372600765097 47.48174917165445, -109.9992035340403 47.4838630872876, -109.9465591812824 47.50272773546374, -109.9307200962254 47.52045114065114, -109.8544776047961 47.54628141177365, -109.8458561693373 47.55493714150656, -109.8551262431739 47.59832965544978, -109.8369526608838 47.63550444136395, -109.84203422272 47.7145839292088, -109.7395844303692 47.70595208113807, -109.692158920152 47.73326581273381, -109.6397664386338 47.74278376889906, -109.6123990380532 47.73789719746731, -109.5953087300317 47.75057742761174, -109.544327649568 47.74525228318215, -109.5284885645109 47.74910904211399, -109.4845953645266 47.73195050817257, -109.427159189925 47.72960072874788, -109.3995931208532 47.74634747237982, -109.2841029048718 47.77568679372149, -109.263685948654 47.79813270694775, -109.1830939382698 47.7933267944054, -109.1478372487198 47.7821957122562, -109.082756455627 47.80303238480148, -108.9976401912628 47.80935035364685, -108.9425312095248 47.79380634439844, -108.9539297559296 47.77542290394461, -108.9308500720849 47.76426146462831, -108.9535252181856 47.75239336641008, -108.9519762256025 47.74093011676003, -108.8986832344669 47.73959212202952, -108.8322285982483 47.71519806609629, -108.7977343087466 47.68552761333456, -108.7811084757427 47.6515461320192, -108.7258386942662 47.64975811559813, -108.6771445549273 47.62699656035959, -108.6080183325911 47.6283943369516, -108.5592480931182 47.61343006670851, -108.5282559638984 47.62181180487686, -108.5008644744395 47.60474128599844, -108.4480885394214 47.61888327072359, -108.4303563275473 47.60517322807924, -108.4298065830808 47.58723618303321, -108.3967310508071 47.59473642366655, -108.3392009554821 47.5679995300499, -108.3140758927484 47.58397983291842, -108.3119463840994 47.53155756407757, -108.3246730306631 47.53116447502634, -108.3242217138716 47.31211969374919, -108.3408699262205 47.31113899147866, -108.3417473312364 47.30420750739428, -108.5944305474798 47.30292489118193, -108.5945137965712 47.26611972708912, -108.720160608916 47.26601415045675, -108.7211658144972 47.17812481586168, -108.7418423607565 47.17787263379772, -108.7409784765949 47.10156507649492, -108.615523287392 47.09985476613299, -108.6131040905545 46.83843438420672, -108.6355889086143 46.837220926387, -108.635505659523 46.7513309686939, -109.0137170050568 46.75363614484064))",2021-10-09,41.0,4532,11050,0.06753450987244447
23968,Dawson,Montana,30021,"POLYGON ((-104.598890562549 46.85632226721932, -105.038821499685 46.86104285850872, -105.0379213008918 46.88812746083805, -105.0585140282153 46.88888654542788, -105.0580944154959 46.90403865711797, -105.0773672276988 46.90526309739403, -105.0782599667103 46.9194844459076, -105.2011906932676 46.92305452128521, -105.2028313271965 46.97675065145575, -105.3265019190449 46.9783674555265, -105.3279059639257 47.17949467007644, -105.4126418830324 47.18187061054105, -105.4133278203185 47.52293343480871, -105.3684420549386 47.52430334082752, -105.3700131678466 47.79071328061594, -105.2427949835736 47.78960788602249, -105.2411470970792 47.70355122293049, -104.9857191992185 47.70145833973734, -104.9858947113041 47.62461818510512, -104.5938030950523 47.61672635773771, -104.5930244803396 47.53163521833268, -104.5179478906219 47.53055577756299, -104.5139037046754 47.35770336314837, -104.4283360717156 47.35845514336864, -104.4441219540241 47.32071610785695, -104.3790553034341 47.27633600170594, -104.3775827218092 47.25244444495523, -104.3548765450888 47.25021293415256, -104.3460336991654 47.21853170760019, -104.3366872143707 47.2167197577129, -104.3296144088668 47.13727059624266, -104.3176204268327 47.13637801264321, -104.3158121550322 47.03857234881963, -104.3344363806613 47.03761096945581, -104.336236985464 46.99904032369908, -104.3554257715149 46.98109188176438, -104.3566464819001 46.96134687574209, -104.3772391574197 46.96083556987288, -104.4015397588658 46.91441018844097, -104.4154869085986 46.91436434186608, -104.4173790511389 46.89875443787952, -104.4392764113916 46.89777010932622, -104.4405200191623 46.88537604469562, -104.4597622151778 46.88439554964125, -104.4596859078277 46.87384016578228, -104.4722520654773 46.86691251519682, -104.4908228293378 46.86638981243893, -104.4913950049533 46.85445732179969, -104.598890562549 46.85632226721932))",2021-10-09,33.6,2895,8613,0.09619686800894856
24267,King,Washington,53033,"POLYGON ((-121.3859144253582 47.08761461130355, -121.4430059994894 47.08440182838592, -121.513678883227 47.12348232949876, -121.5780580424097 47.11905577793718, -121.6419954167441 47.15554177734303, -121.7024987531084 47.15256869171586, -121.7944975985437 47.16962998947525, -121.8407327037388 47.14502110219049, -121.8962232222272 47.15547645244931, -121.943313197681 47.14275788731569, -121.9665227542526 47.15847782308201, -122.0641668412772 47.17838212652555, -122.1096931636047 47.20567974706503, -122.1524045580374 47.25608678696786, -122.3288618083401 47.25581906369206, -122.4208371347415 47.31884437610815, -122.3253763289589 47.34432341584329, -122.3197386507594 47.39011487124463, -122.3926337205725 47.51024242942407, -122.3822204351937 47.59540904731456, -122.4148152259815 47.66417989394026, -122.3944922940953 47.77417608432351, -121.119238109199 47.77552122801146, -121.0855686954172 47.74334848473293, -121.0658835748645 47.70846017370728, -121.117297840706 47.67056096010566, -121.1256819100562 47.64359897793767, -121.1179824310872 47.59640068023741, -121.1547642833622 47.59392066545757, -121.2216207117106 47.55828736054081, -121.2957235927032 47.49110353066317, -121.3604280294495 47.45593547782457, -121.4404677569693 47.37147728017334, -121.461143474364 47.36068142196332, -121.4386672039707 47.33518414720631, -121.42734501672 47.29644213368712, -121.3396977624012 47.2753098154888, -121.3309924043985 47.25488223944293, -121.35734423859 47.22921660155775, -121.3089040426524 47.19348885787709, -121.303890447716 47.1375540161424, -121.3194697873193 47.13108788774426, -121.3649112546302 47.14252751475232, -121.3820623287899 47.13968528612877, -121.4049275439114 47.11274941319665, -121.3859144253582 47.08761461130355))",2021-10-09,70.2,1580616,2252782,0.4391029552689262
24567,Cascade,Montana,30013,"POLYGON ((-110.6587250080089 46.81782823963692, -110.6980027270999 46.83799327281093, -110.7544618257136 46.84396358474766, -110.7603146460889 46.88784020743939, -110.7902080116323 46.90660787845371, -110.8111589638886 46.90326952254448, -110.8534198703944 46.91911119780347, -110.9115739971785 46.97187568412883, -110.9706126779359 47.00065339787898, -111.0168713539689 47.00934632291221, -111.0786406256449 47.00709383147357, -111.1433259985046 47.08662577579884, -111.1661002975369 47.08728508580872, -111.1671136363522 47.01125322960378, -111.2823290837085 47.00980059253401, -111.2830919499932 46.99870727552955, -111.5458548336014 46.99879384007946, -111.5491433022206 46.91158412267772, -111.6589375604582 46.91056845268057, -111.7973359889137 46.90921709250789, -111.7960477260611 47.12810107404664, -111.9184837758458 47.12893952242488, -111.9517880747577 47.13899883080222, -111.9512464117214 47.15101534759343, -111.9852145275945 47.18269667775387, -112.0141086968253 47.17824852390785, -112.0222192408472 47.19530039333206, -112.0452079049947 47.19718476526648, -112.0504267993394 47.52207825372573, -111.9258609818855 47.50989896864262, -111.9286947146466 47.61035295857015, -111.6810598020461 47.61186377157621, -111.6787185184838 47.69462103539665, -111.4196419067137 47.69858782610825, -110.9865350638883 47.70081027120402, -110.9867729480374 47.68418987762426, -111.0027363627891 47.66354488002488, -111.0262592301911 47.65681522447814, -111.0535003843276 47.61621878175933, -111.0526550978162 47.59596288430015, -111.0251975064029 47.57845073598556, -110.9743829759259 47.57502602274261, -110.943124055903 47.55307644401816, -110.8997702913813 47.54371897676707, -110.8860739250033 47.54762899025145, -110.8778726721084 47.52728911844434, -110.7639314487101 47.5236875980148, -110.7625580718207 47.44584778083362, -110.6417028222993 47.44525731839214, -110.6411382100735 47.41993498587629, -110.6444494724701 47.36033697690512, -110.7669137554563 47.35852792804404, -110.7695835284326 47.30679594802865, -110.7910005616316 47.30666617890986, -110.792700977422 47.25221800949886, -110.7778687038714 47.25110805614995, -110.7774869599048 47.23454449160144, -110.7633642980864 47.23385793266682, -110.7743949840071 47.09516593071977, -110.6586088633525 47.09207727028061, -110.6554549816277 46.92332887547806, -110.6433010805239 46.92161991202116, -110.6454119397187 46.83733292672026, -110.6585958087346 46.83623058856514, -110.6587250080089 46.81782823963692))",2021-10-09,46.7,37998,81366,0.1676143767621484
24866,Griggs,North Dakota,38039,"POLYGON ((-97.96167295227782 47.24493803964121, -98.46847596258213 47.2445767582702, -98.4708188520696 47.32752450554364, -98.50495315530129 47.32750570067732, -98.50744254661227 47.59241948800285, -98.50708473611189 47.67627836472185, -97.98496922881141 47.67487810153595, -97.98795438477977 47.32988568185701, -97.96261728811267 47.32878298107361, -97.96167295227782 47.24493803964121))",2021-10-09,42.6,950,2231,0.04379878577623586
25165,Steele,North Dakota,38091,"POLYGON ((-97.96167295227782 47.24493803964121, -97.96261728811267 47.32878298107361, -97.98795438477977 47.32988568185701, -97.98496922881141 47.67487810153595, -97.88201507233269 47.67451806346188, -97.4808961877772 47.67327720130531, -97.47527368816124 47.32040569805265, -97.45447597225362 47.32080199895433, -97.45339171370826 47.24475154509925, -97.71219982514202 47.24529139499419, -97.96167295227782 47.24493803964121))",2021-10-09,41.3,780,1890,0.036707452725250334
25465,Traill,North Dakota,38097,"POLYGON ((-96.83706532848862 47.24045885517556, -97.45339171370826 47.24475154509925, -97.45447597225362 47.32080199895433, -97.47527368816124 47.32040569805265, -97.4808961877772 47.67327720130531, -96.88942558789427 47.6739252180346, -96.87333551226619 47.61525496760566, -96.85221687033427 47.60115157688988, -96.85866450469034 47.56297800909542, -96.84918871701318 47.5445680449734, -96.86068698619388 47.52135589819986, -96.8516156326526 47.50061894843049, -96.86668408081898 47.46153767025706, -96.8558270420384 47.43675321908265, -96.86724853763266 47.41308711351155, -96.85000551130294 47.40893621124381, -96.83982751987125 47.38411741399126, -96.85063104507911 47.36095479187942, -96.83846170637158 47.34224327644385, -96.8467473998508 47.31460214331888, -96.83771391506234 47.29388415382795, -96.84962366372827 47.25684369578802, -96.83706532848862 47.24045885517556))",2021-10-09,44.7,3592,8036,0.07340252594723018
25764,Mason,Washington,53045,"POLYGON ((-123.0811998545065 47.09005841505983, -123.0852128026172 47.07723732973216, -123.2060431861997 47.07828206179543, -123.4863344327868 47.07915843073054, -123.4876935635654 47.25450173877329, -123.5025255780958 47.25564225650547, -123.5020140132064 47.5127538374518, -123.5005296202605 47.60548918091575, -122.9827446198324 47.60547415774432, -123.1139153487061 47.45627375820207, -123.1540602156132 47.34854710278644, -123.0104711260144 47.35302701250863, -122.8332476421644 47.43846446191729, -123.0362058704882 47.35605179856717, -123.1126853135938 47.37156907693122, -123.0263364239154 47.51593605598617, -122.8034564341868 47.51802702242986, -122.7995531034235 47.39888741908647, -122.8021841787823 47.36074078939252, -122.8803733106014 47.29923302450761, -123.115436367108 47.2079808824967, -123.0811998545065 47.09005841505983))",2021-10-09,52.3,34907,66768,0.22370142713690166
26063,Missoula,Montana,30063,"POLYGON ((-113.8179413573739 46.65374852847625, -114.3346852002173 46.6542270423885, -114.3840177207342 46.66159663323438, -114.4415359011302 46.64571558690542, -114.4847180388693 46.62357479947142, -114.5403909075765 46.63789094937715, -114.6108260107731 46.62904805164976, -114.6447400950331 46.66082402779026, -114.6450380200639 46.67092146394062, -114.6259267328561 46.68710727343358, -114.6738872233885 46.73472166117857, -114.672964334426 46.74204965338078, -114.5523728192694 46.74270300592613, -114.551138743442 46.82941478290082, -114.5716392077713 46.8311542071329, -114.5683687151538 46.95550571127569, -114.5556961520072 46.95665772950463, -114.5533620692064 46.98370772673561, -114.5346851070652 46.98521066552767, -114.5343038293349 46.99530431998316, -114.5134295988611 47.00227760992737, -114.4423755928053 46.98214391819721, -114.4369055524775 47.00317060795913, -114.4195712992343 47.00422357686467, -114.4203418325168 47.01847569697767, -114.4815229729331 47.0191467665045, -114.4819273034609 47.06049561109204, -114.5650357468647 47.06336830049079, -114.5654248988089 47.0886376374743, -114.5919909427035 47.09048408885185, -114.5922962757119 47.11851157650293, -114.6334576414807 47.12244096469805, -114.6357465511591 47.13304996573783, -114.6576739059506 47.13480104587879, -114.656789041153 47.15959736017822, -114.6887034894909 47.16197029600855, -114.6889324633453 47.17437990185098, -114.7135225457637 47.17662690206144, -114.7167654786323 47.21758276120583, -114.7800910472609 47.21953608431674, -114.7810295810434 47.23103393906514, -114.7996458288504 47.23317028584736, -114.7994019872368 47.26028218890548, -114.7229991623055 47.24939453393758, -114.6850650845853 47.26484824874525, -114.5766790673558 47.25241548649718, -114.4551625910751 47.20105261026276, -114.374983303473 47.18760163961963, -114.3544140951834 47.16836742142617, -114.3520338031794 47.14488729235663, -114.3042805288047 47.12282260505656, -114.2539026027721 47.11631472260264, -114.2348740984192 47.12512322244784, -114.2015857551514 47.12445215292101, -114.1898740533283 47.13340560046855, -113.9344158501045 47.13715066989137, -113.9319810084471 47.17477977723138, -113.8245387572079 47.17602488731917, -113.8247200195419 47.2546320777365, -113.8543464906742 47.27737524254104, -113.8793569110686 47.28529815233211, -113.8939375205956 47.3017166655702, -113.8849650091616 47.32174799251844, -113.8882841457722 47.35033563724791, -113.8693548979589 47.38255899307295, -113.8881244339186 47.42391825027242, -113.9448064971181 47.47163634970437, -113.9385883546567 47.4899014179281, -113.9097935455735 47.503524170766, -113.9278305724157 47.53337484978092, -113.9209943559598 47.55025162155185, -113.9288836967333 47.58217762219054, -113.9495452198213 47.59966454193793, -113.637319528537 47.60026515797112, -113.4736300572054 47.59757632110833, -113.4729723013167 47.17621661406912, -113.3170174320928 47.17351430815607, -113.3065020409523 46.82820609105273, -113.4239637114584 46.82810180952136, -113.4246126606604 46.79184628628695, -113.4863305427293 46.79114755340306, -113.4884365841484 46.73932792095295, -113.5508177133342 46.73769459139363, -113.5536020250416 46.70977055640931, -113.670932631328 46.70807956895409, -113.672289741749 46.6548828297237, -113.8179413573739 46.65374852847625))",2021-10-09,57.7,68951,119600,0.1389223384949373
26362,Petroleum,Montana,30069,"POLYGON ((-107.8273832105524 46.75286027574204, -108.635505659523 46.7513309686939, -108.6355889086143 46.837220926387, -108.6131040905545 46.83843438420672, -108.615523287392 47.09985476613299, -108.7409784765949 47.10156507649492, -108.7418423607565 47.17787263379772, -108.7211658144972 47.17812481586168, -108.720160608916 47.26601415045675, -108.5945137965712 47.26611972708912, -108.5944305474798 47.30292489118193, -108.3417473312364 47.30420750739428, -108.3408699262205 47.31113899147866, -108.3242217138716 47.31211969374919, -108.3246730306631 47.53116447502634, -108.3119463840994 47.53155756407757, -108.3140758927484 47.58397983291842, -108.2675563315728 47.59140770330866, -108.1778545808541 47.58539242546571, -108.1122861563381 47.59978949328104, -107.9600220659037 47.58074358277092, -107.9315173076373 47.55347647481067, -107.9138082521689 47.49322366278106, -107.9156391105305 47.45681158773948, -107.932362904973 47.38962164498518, -107.9701064474362 47.32781761279875, -107.9684886072846 47.27911420053677, -107.9552281200945 47.2587969670949, -107.9710672569555 47.24454448435363, -107.9619192852399 47.23699145540411, -107.9657570320893 47.22308642235534, -107.9472322184118 47.2148850658523, -107.9519550372749 47.19359453811754, -107.9376113276202 47.17699673109897, -107.961087882211 47.15701420355587, -107.9590356133848 47.12305494617343, -107.9452258997686 47.11518156104405, -107.9424869165956 47.09181602250975, -107.9297453504685 47.07931151166707, -107.9289290742191 47.0434867908246, -107.9139749057637 47.03839823544309, -107.9236493619321 47.0220439592139, -107.9015080564577 47.0079718063339, -107.9037738615345 46.97896035275782, -107.9155388697142 46.97540846059805, -107.9239617920939 46.94943728248828, -107.9175528035513 46.94227330187492, -107.9383740902969 46.92375962606595, -107.9459881962089 46.88450164431401, -107.9164381360348 46.85687201168579, -107.8939685483625 46.84740808713367, -107.8449167539353 46.80332948049218, -107.8464347677029 46.77252508911128, -107.8273832105524 46.75286027574204))",2021-10-09,27.9,136,487,0.06048387096774188
26662,Powell,Montana,30077,"POLYGON ((-113.0286431494287 46.26481561172494, -113.0376195461657 46.73071410068794, -113.1030145307576 46.71192964516484, -113.1315274740623 46.72283967947777, -113.184425148573 46.72477715055262, -113.1826401885903 46.75548606708884, -113.232187954891 46.78164741782737, -113.2568242465126 46.8149235353418, -113.2929442503798 46.79799703169301, -113.2978879616671 46.82797349091568, -113.3065020409523 46.82820609105273, -113.3170174320928 47.17351430815607, -113.4729723013167 47.17621661406912, -113.4736300572054 47.59757632110833, -113.1520622326657 47.59638436196499, -113.1179946530368 47.55952319770555, -113.1294083262211 47.53682935034655, -113.1270044115752 47.50960762272484, -113.1122787507378 47.48664325467192, -113.0959586651746 47.47928107180368, -113.0648445374419 47.48392007173098, -113.0643565433904 47.17020972848056, -112.7983473596511 47.16695695284449, -112.794114607001 46.82815718803951, -112.5395145894945 46.8334422361426, -112.5369267705086 46.6955834503658, -112.415833429622 46.69342094254367, -112.4142079742767 46.65020704892841, -112.319582560434 46.64930710915536, -112.2955405129487 46.59660214567131, -112.3166901855003 46.55968643175835, -112.2977296998512 46.51956264909535, -112.3099372699398 46.4965785437034, -112.3194510299779 46.41844111231566, -112.3603010534697 46.3817546312772, -112.3810771670929 46.37695560867209, -112.4084837315273 46.38109076251185, -112.4606029985415 46.32320591312478, -112.4957539560471 46.33904846905244, -112.5127149611861 46.32217957149551, -112.5347270155821 46.32794717422592, -112.569053356388 46.29742128136101, -112.5607595296746 46.26413785947703, -113.0286431494287 46.26481561172494))",2021-10-09,40.3,2775,6890,0.12294845954506195
26961,Kittitas,Washington,53037,"POLYGON ((-121.3820231131321 47.06934990570811, -121.3859144253582 47.08761461130355, -121.4049275439114 47.11274941319665, -121.3820623287899 47.13968528612877, -121.3649112546302 47.14252751475232, -121.3194697873193 47.13108788774426, -121.303890447716 47.1375540161424, -121.3089040426524 47.19348885787709, -121.35734423859 47.22921660155775, -121.3309924043985 47.25488223944293, -121.3396977624012 47.2753098154888, -121.42734501672 47.29644213368712, -121.4386672039707 47.33518414720631, -121.461143474364 47.36068142196332, -121.4404677569693 47.37147728017334, -121.3604280294495 47.45593547782457, -121.2957235927032 47.49110353066317, -121.2216207117106 47.55828736054081, -121.1547642833622 47.59392066545757, -121.1179824310872 47.59640068023741, -121.0906301054821 47.57787332816203, -121.0741343524212 47.55027845604427, -121.0405562691609 47.52824930631526, -121.004269974327 47.51641291216916, -120.9166423537392 47.43102700777975, -120.8424826955194 47.4114855398284, -120.8003905665741 47.41310736889098, -120.6714716556865 47.34713435482703, -120.6137002053417 47.34267578836909, -120.5755819642614 47.3183729593493, -120.5749788616343 47.30735237521621, -120.5417062667945 47.31004975974552, -120.5205651937136 47.32714747574463, -120.3804903865419 47.25615801752207, -120.0913494558982 47.25696263786257, -120.0704667295618 47.22479362447488, -120.0048899127915 47.22117811695469, -120.0104438756633 47.16774572114892, -120.0015169517839 47.13301313306579, -120.0432734423578 47.07053181486779, -120.0165542657226 47.03988495957081, -119.9941682379659 46.97239564127263, -119.9629544392614 46.92898851859029, -119.9665241520107 46.86095696741134, -119.9273521131602 46.80120390895016, -119.9726946347558 46.73322146800059, -120.5088304908969 46.73570003226733, -120.5087700355828 46.82154191581184, -120.6256856915133 46.82401276127669, -120.6289134976024 46.90658549910867, -121.0436114123865 46.90786464445038, -121.060076393848 46.93769905699692, -121.0969657913089 46.964168538162, -121.1008800009205 46.98426809103017, -121.1762231742252 47.03898072006249, -121.2830991037052 47.08487718225177, -121.3242372094603 47.0720973329395, -121.3498114132159 47.07588876697761, -121.3820231131321 47.06934990570811))",2021-10-09,47.8,22936,47935,0.17723346189412903
27260,Foster,North Dakota,38031,"POLYGON ((-98.50495315530129 47.32750570067732, -99.26894742116458 47.3300347738825, -99.27018667739594 47.59017507799436, -98.50744254661227 47.59241948800285, -98.50495315530129 47.32750570067732))",2021-10-09,48.6,1561,3210,0.054459817486017026
27559,Mercer,North Dakota,38057,"POLYGON ((-101.7655387683625 46.9854260149196, -102.1046471298304 46.98454627872194, -102.1585051994282 46.98436304783445, -102.1583836153476 47.01237069453842, -102.1552604534182 47.33667802029147, -102.2107195786588 47.33741068482119, -102.2000366532547 47.57961130188101, -102.1411596011004 47.57377438534583, -102.0618962607196 47.57728732086795, -102.0234514469746 47.56202051503456, -102.0167610070858 47.53938380753105, -101.9425723904079 47.53186046229614, -101.8897391083182 47.50714801873654, -101.8148408799082 47.50230252790806, -101.7105297684206 47.53373877315795, -101.6174718930071 47.52986626579812, -101.4727918621419 47.56088274291646, -101.4352311879379 47.56065361365005, -101.3811066383613 47.52191087487432, -101.4211317343292 47.49322459525376, -101.4375047636206 47.46868864805653, -101.4193841768629 47.45271632301008, -101.4008512817553 47.3967201452927, -101.3707751515607 47.37913764709256, -101.3643124422292 47.32383952880656, -101.3427051845973 47.29630065685544, -101.281706498008 47.28500007188921, -101.2604350859637 47.26665066668929, -101.2593132694898 47.24548275911586, -101.7661544075671 47.2413020177214, -101.7655387683625 46.9854260149196))",2021-10-09,33.7,2760,8187,0.08718562874251501
27859,Grays Harbor,Washington,53027,"POLYGON ((-123.1617299590636 46.79189441223959, -123.3730361493219 46.79280953059619, -124.1020671955186 46.78946894711327, -124.1388270310769 46.8999849392282, -124.1057606163141 46.9081486859986, -124.1047380563797 46.87414534337859, -124.0288086167607 46.82376726193382, -124.0469290481063 46.88725321586856, -123.8126557441809 46.96396494828703, -123.9958647703552 46.97638569199793, -124.034394749941 47.031033617785, -124.1123615388228 47.04267502152666, -124.1620363804323 46.92961265365739, -124.1927336928637 47.16698244043189, -124.2314253528565 47.27507053263065, -124.319426946805 47.34923822047654, -124.3490800970176 47.52691012009184, -124.0511068366705 47.52733719259294, -124.0502899387727 47.51354706090362, -123.5020140132064 47.5127538374518, -123.5025255780958 47.25564225650547, -123.4876935635654 47.25450173877329, -123.4863344327868 47.07915843073054, -123.2060431861997 47.07828206179543, -123.2087654366679 46.99442085389465, -123.1646354922233 46.99272722443342, -123.1617299590636 46.79189441223959))",2021-10-09,51.3,38507,75061,0.2192606695224496
28158,Norman,Minnesota,27107,"POLYGON ((-96.19571572727682 47.15243871538092, -96.8391639101261 47.15188674334075, -96.82649103615526 47.17006384830552, -96.83706532848862 47.24045885517556, -96.84962366372827 47.25684369578802, -96.83771391506234 47.29388415382795, -96.8467473998508 47.31460214331888, -96.83846170637158 47.34224327644385, -96.85063104507911 47.36095479187942, -96.83982751987125 47.38411741399126, -96.85000551130294 47.40893621124381, -96.86724853763266 47.41308711351155, -96.8558270420384 47.43675321908265, -96.86668408081898 47.46153767025706, -96.8516156326526 47.50061894843049, -96.07045148776325 47.50167953252983, -96.0716483164863 47.15427288920113, -96.19571572727682 47.15243871538092))",2021-10-09,47.8,3050,6375,0.09734513274336287
28458,Mahnomen,Minnesota,27087,"POLYGON ((-95.55810663673238 47.50156753219657, -95.55379001334248 47.15177671156099, -96.0716483164863 47.15427288920113, -96.07045148776325 47.50167953252983, -95.55810663673238 47.50156753219657))",2021-10-09,52.7,2910,5527,0.574385510996119
