,FIPS,POPESTIMATE2019,Minority_Pct
2059,39035,1235072,0.41800592496780165
2060,39037,51113,0.04932441548929278
2061,39039,38087,0.12114088700830594
2062,39041,209177,0.19097812482486787
2063,39043,74266,0.17851947845864957
2064,39045,157574,0.17143738083701965
2065,39047,28525,0.08386584228524063
2066,39049,1316756,0.393654059844071
2067,39051,42126,0.10818720295928641
2068,39053,29898,0.07429842573579737
2069,39055,93649,0.06263299684476453
2070,39057,168937,0.18348951573532735
2071,39059,38875,0.06608044123003276
2072,39061,817473,0.3669331683198116
2073,39063,75783,0.11118526428190068
2074,39065,31365,0.06665363565285376
2075,39067,15040,0.07091072291652278
2076,39069,27006,0.08741233461065723
2077,39071,43161,0.06129233326407646
2078,39073,28264,0.0518716577540107
2079,39075,43960,0.025665377744612528
2080,39077,58266,0.10506275078972083
2081,39079,32413,0.05197072244510459
2082,39081,65325,0.12712838510935032
2083,39083,62322,0.06889239648602541
2084,39085,230149,0.1431924781709608
2085,39087,59463,0.06837225274725278
2086,39089,176862,0.13695460987345887
2087,39091,45672,0.08886240520043331
2088,39093,309833,0.20981326925780597
2089,39095,428348,0.3157352896848675
2090,39097,44731,0.13184556407447978
2091,39099,228683,0.2444863394192831
2092,39101,65093,0.13165746109946608
2093,39103,179746,0.0843316709596098
2094,39105,22907,0.04322377307519132
2095,39107,41172,0.05810289691497361
2096,39109,106987,0.10252450034015481
2097,39111,13654,0.032872618602913684
2098,39113,531687,0.3205455333895394
2099,39115,14508,0.08940733227068542
2100,39117,35328,0.057711015736766846
2101,39119,86215,0.1053234579331096
2102,39121,14424,0.08707049238398867
2103,39123,40525,0.07652858983252409
2104,39125,18672,0.08247367861320853
2105,39127,36134,0.04795526434704023
2106,39129,58457,0.0991646594577974
2107,39131,27772,0.05644565859421147
2108,39133,162466,0.13605824798660004
2109,39135,40882,0.052245176711627095
2110,39137,33861,0.06890946561783406
2111,39139,121154,0.15845713005058593
2112,39141,76666,0.11659943185503219
2113,39143,58518,0.1438298016843249
2114,39145,75314,0.0821938168846611
2115,39147,55178,0.10370625942000034
2116,39149,48590,0.08189923284262912
2117,39151,370606,0.16405631007354882
2118,39153,541013,0.25833228478169157
2119,39155,197974,0.15306198230491586
2120,39157,91987,0.08131842209665141
2121,39159,58988,0.14516437308868502
2122,39161,28275,0.07251736891223948
2123,39163,13085,0.04234375000000001
2124,39165,234602,0.1744017628344
2125,39167,59911,0.06392732261464595
2126,39169,115710,0.07840436634899994
2127,39171,36692,0.07918710581639798
2128,39173,130817,0.1278582662875809
2129,39175,21772,0.053333333333333344
2130,40001,22194,0.6078481661964606
2131,40003,5702,0.16283558519038432
2132,40005,13758,0.32970374036625893
2133,40007,5311,0.2451970687264805
2134,40009,21859,0.21825078090138328
2135,40011,9429,0.2601030337721809
2136,40013,47995,0.3265678251242755
2137,40015,28762,0.3786231211727593
2138,40017,148306,0.27108578090087754
2139,40019,48111,0.3308543216048997
2140,40021,48657,0.558456179107014
2141,40023,14672,0.416784004505773
2142,40025,2137,0.21559233449477355
2143,40027,284014,0.31101283127148693
2144,40029,5495,0.34656285605772885
2145,40031,120749,0.4278555211558307
2146,40033,5666,0.23792292382847835
2147,40035,14142,0.39172042248529104
2148,40037,71522,0.26922540903643
2149,40039,29003,0.29768877354189316
2150,40041,43009,0.3713889645270688
2151,40043,4891,0.1465209634255129
2152,40045,3859,0.1280341424379835
2153,40047,61056,0.2792381376698596
2154,40049,27711,0.2631743062051761
2155,40051,55834,0.21312163518569216
2156,40053,4333,0.1122571360038378
2157,40055,5712,0.22108905481697327
2158,40057,2653,0.2998392282958199
2159,40059,3688,0.2396088019559902
2160,40061,12627,0.3205605051466136
2161,40063,13279,0.3845290641131144
2162,40065,24530,0.3329836594714545
2163,40067,6002,0.21191680719505335
2164,40069,11085,0.3290498442367601
2165,40071,43538,0.2722883295194508
2166,40073,15765,0.23261327713382507
2167,40075,8708,0.23387001997884593
2168,40077,10073,0.3726175349428208
2169,40079,49853,0.32153171684431425
2170,40081,34877,0.20667702791559572
2171,40083,48011,0.25139743719099994
2172,40085,10253,0.2897693672383205
2173,40087,40474,0.2408909797897365
2174,40089,32832,0.39981826442526125
2175,40091,19596,0.3236893511430231
2176,40093,7629,0.1490619378051915
2177,40095,16931,0.3332027168234065
2178,40097,41100,0.3870562925779849
2179,40099,14073,0.3046605293440736
2180,40101,67997,0.46031746031746035
2181,40103,11131,0.21640424752837784
2182,40105,10076,0.3669527896995708
2183,40107,11993,0.40893015030946067
2184,40109,797434,0.45104434051830233
2185,40111,38465,0.39816378793657714
2186,40113,46963,0.39100353572831636
2187,40115,31127,0.36057454185240223
2188,40117,16376,0.24760496367260332
2189,40119,81784,0.25710996252112783
2190,40121,43654,0.336531651931556
2191,40123,38284,0.3886509917246814
2192,40125,72592,0.3032268749827477
2193,40127,11096,0.3056788753237144
2194,40129,3583,0.14439279488669376
2195,40131,92459,0.330197396052079
2196,40133,24258,0.38707760230939037
2197,40135,41569,0.4163081387948372
2198,40137,43143,0.21907673637042568
2199,40139,19983,0.5260007482229705
2200,40141,7250,0.34644087256027556
2201,40143,651552,0.41623448516986195
2202,40145,81289,0.3316333460935281
2203,40147,51527,0.31129539605376033
2204,40149,10916,0.16138777004760163
2205,40151,8793,0.16616419294990725
2206,40153,20211,0.21172447484123103
2207,41001,16124,0.10391168706503484
2208,41003,93053,0.2161287611363254
2209,41005,418187,0.20537682634830012
2210,41007,40224,0.15940299961044024
2211,41009,52354,0.13968700678849189
2212,41011,64487,0.15399898350505936
2213,41013,24404,0.13699571509418706
2214,41015,22925,0.15017486991384454
2215,41017,197692,0.1468628469682678
2216,41019,110980,0.13626676019100548
2217,41021,1912,0.1127819548872181
2218,41023,7199,0.09816120558551089
2219,41025,7393,0.12394929953302203
2220,41027,23382,0.3168036034533094
2221,41029,220944,0.20185524435745028
2222,41031,24658,0.34731858623785816
2223,41033,87487,0.14469292768759223
2224,41035,68238,0.21493092072090247
2225,41037,7869,0.1800245098039216
2226,41039,382067,0.1926438294283379
2227,41041,49962,0.19388828256771506
2228,41043,129749,0.1625845579659435
2229,41045,30571,0.3152259985429666
2230,41047,347818,0.32550589731729884
2231,41049,11603,0.38683735434104716
2232,41051,812855,0.31790176447215446
2233,41053,86085,0.21912778927864762
2234,41055,1780,0.12139037433155075
2235,41057,27036,0.17415115005476456
2236,41059,77950,0.3323634093037777
2237,41061,26835,0.13860894793098177
2238,41063,7208,0.0971451765660939
2239,41065,26682,0.2568053993250844
2240,41067,601592,0.35797305670484303
2241,41069,1332,0.12405237767057198
2242,41071,107100,0.22330628840905298
2243,42001,103009,0.11932365289065205
2244,42003,1216045,0.24329310126997272
2245,42005,64735,0.046447420604655454
2246,42007,163929,0.13828136610884878
2247,42009,47888,0.042205267250982614
2248,42011,421164,0.27921716035247834
2249,42013,121829,0.07493771474165867
2250,42015,60323,0.06571947904680908
2251,42017,628270,0.18041166953837207
2252,42019,187853,0.0754684846952205
2253,42021,130192,0.0990769599616399
2254,42023,4447,0.05762040906091925
2255,42025,64182,0.09603237115631125
2256,42027,162385,0.170447361100574
2257,42029,524989,0.22699672350784883
2258,42031,38438,0.055906124969791304
2259,42033,79255,0.06788560363446783
2260,42035,38632,0.060907877169559366
2261,42037,64964,0.07999752807947225
2262,42039,84629,0.07307774786151688
2263,42041,253370,0.17168910351525613
2264,42043,278299,0.36808879857263066
2265,42045,566747,0.36251928644487974
2266,42047,29910,0.04630525976121325
2267,42049,269728,0.177738153250934
2268,42051,129274,0.10087419645352624
2269,42053,7247,0.2404990678330704
2270,42055,155027,0.13729061385732244
2271,42057,14530,0.05420445177246491
2272,42059,36233,0.08140957890638034
2273,42061,45144,0.10133357525174636
2274,42063,84073,0.08371573408932564
2275,42065,43425,0.04544637238155169
2276,42067,24763,0.06061508358501
2277,42069,209674,0.1707210879312262
2278,42071,545724,0.18144828783472944
2279,42073,85512,0.11347740211455792
2280,42075,141793,0.1734435315551771
2281,42077,369318,0.34721551058984346
2282,42079,317417,0.21054442035172638
2283,42081,113299,0.1205030300907276
2284,42083,40625,0.07813118322121093
2285,42085,109424,0.1187145284314789
2286,42087,46138,0.05415772706586053
